# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 24 12:47:55 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassprov like '%mass%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 11505 b,HD 11505,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,32669.22246790,12712.99788238,-7172.26631823,0,20.331534,4.724329,-3.465366,0,,,,,,,,,2649.58135,893.16102,-683.86592,0,8.33652,2.81020,-2.15168,0,Mass,0.144108,0.010572,-0.055943,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.03,0.13,-0.13,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h53m06.01s,28.2750265,-01d19m42.39s,-1.3284416,38.9679000,0.1628000,-0.1615000,7.4300000,0.0300000,-0.0300000,5.8850000,0.0180000,-0.0180000,7.2576500,0.0003420,-0.0003420,2022-09-19,2022-09,2022-09-19
HD 11506 b,HD 11506,1,1,3,Radial Velocity,2007,W. M. Keck Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1613.74017306,4.33629764,-4.52954341,0,2.798425,0.124085,-0.134398,0,,,,,,,,,1716.82279,463.72335,-272.06704,0,5.40173,1.45904,-0.85602,0,Mass,0.390871,0.009924,-0.010087,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.12,0.15,-0.15,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000,0.1351000,-0.1343000,7.5100000,0.0300000,-0.0300000,6.1680000,0.0170000,-0.0170000,7.3738200,0.0003010,-0.0003010,2022-09-19,2022-09,2022-09-19
HD 11506 d,HD 11506,1,1,3,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,14723.57452498,2801.31727946,-2758.84505345,0,12.245208,1.564810,-1.783519,0,,,,,,,,,2446.83592,539.51056,-444.22444,0,7.69861,1.69749,-1.39769,0,Mass,0.060812,0.028045,-0.021963,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.12,0.15,-0.15,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000,0.1351000,-0.1343000,7.5100000,0.0300000,-0.0300000,6.1680000,0.0170000,-0.0170000,7.3738200,0.0003010,-0.0003010,2022-09-19,2022-09,2022-09-19
HD 115404 A c,HD 115404 A,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,15319.22517076,7240.32595176,-3541.36456759,0,11.294908,3.400915,-1.844925,0,,,,,,,,,3299.58202,450.22609,-403.53596,0,10.38165,1.41657,-1.26967,0,Mass,0.211449,0.173366,-0.102364,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.83,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m51.74s,199.2155793,+17d00m57.74s,17.0160384,10.9816000,0.0044000,-0.0044000,6.5006600,0.0230000,-0.0230000,4.3810000,0.0360000,-0.0360000,6.2855800,0.0006109,-0.0006109,2022-09-19,2022-09,2022-09-19
HD 120084 b,HD 120084,1,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,2085.10024027,20.97372353,-32.40362657,0,4.332646,0.140519,-0.147541,0,,,,,,,,,2439.44256,856.86737,-708.13360,0,7.67534,2.69601,-2.22804,0,Mass,0.732073,0.123043,-0.122769,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,2.50,0.24,-0.24,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h42m38.88s,205.6619890,+78d03m52.70s,78.0646376,103.0440000,0.5175000,-0.5175000,5.9068600,0.0230000,-0.0230000,3.5720000,0.2360000,-0.2360000,5.6521100,0.0015051,-0.0015051,2022-09-19,2022-09,2022-09-19
HD 12235 c,HD 12235,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,36336.70678753,9732.19597897,-6058.52005551,0,22.187701,3.883443,-2.762349,0,,,,,,,,,3171.50491,963.79768,-607.33141,0,9.97867,3.03245,-1.91088,0,Mass,0.174465,0.109676,-0.153564,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.10,0.13,-0.13,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h00m09.40s,30.0391601,+03d05m45.28s,3.0959098,31.7627000,0.1073000,-0.1066000,5.8805100,0.0230000,-0.0230000,4.4940000,0.0160000,-0.0160000,5.7408900,0.0016659,-0.0016659,2022-09-19,2022-09,2022-09-19
HD 125271 b,HD 125271,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,14901.99295308,3707.63683366,-3025.64091374,0,10.780317,1.808870,-1.527987,0,,,,,,,,,3514.14627,549.00472,-447.12024,0,11.05674,1.72736,-1.40680,0,Mass,0.165353,0.065841,-0.061248,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.75,0.09,-0.09,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h26m35.38s,216.6474037,-81d27m15.39s,-81.4542756,39.3466000,0.0672000,-0.0670000,9.6800000,0.0300000,-0.0300000,7.0690000,0.0230000,-0.0230000,9.3559400,0.0006940,-0.0006940,2022-09-19,2022-09,2022-09-19
HD 125390 b,HD 125390,1,1,1,Radial Velocity,2019,W. M. Keck Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1757.39150946,4.66922272,-5.44185097,0,3.495160,0.066140,-0.068181,0,,,,,,,,,9165.50580,793.34568,-620.49938,0,28.83791,2.49614,-1.95231,0,Mass,0.596681,0.020061,-0.017471,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.82,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h18m09.30s,214.5387463,+38d58m00.89s,38.9669132,153.6470000,0.8540000,-0.8540000,8.2100000,0.0300000,-0.0300000,5.8750000,0.0180000,-0.0180000,7.9406100,0.0002050,-0.0002050,2022-09-19,2022-09,2022-09-19
HD 125612 d,HD 125612,1,2,3,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,2822.72697800,15.02596432,-15.41723268,0,3.979432,0.160949,-0.172856,0,,,,,,,,,2352.38976,224.43921,-213.34096,0,7.40145,0.70616,-0.67125,0,Mass,0.114614,0.011955,-0.012490,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.05,0.13,-0.13,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h20m53.45s,215.2227183,-17d28m54.53s,-17.4818147,57.6207000,0.1644000,-0.1635000,8.3100000,0.0300000,-0.0300000,6.8380000,0.0260000,-0.0260000,8.1559000,0.0005370,-0.0005370,2022-09-19,2022-09,2022-09-19
HD 126614 b,HD 126614,1,3,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1257.25302691,5.95651857,-6.18760068,0,2.248182,0.089047,-0.095341,0,,,,,,,,,119.96298,52.47121,-18.42894,0,0.37745,0.16509,-0.05798,0,Mass,0.547783,0.063284,-0.061624,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.96,0.12,-0.12,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h26m48.12s,216.7005171,-05d10m42.27s,-5.1784093,73.0961000,0.2453000,-0.2436000,8.8100000,0.0300000,-0.0300000,7.0600000,0.0360000,-0.0360000,8.6190700,0.0002870,-0.0002870,2022-09-19,2022-09,2022-09-19
HD 128311 c,HD 128311,1,1,2,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>,921.53800000,1.15000000,-1.15000000,0,1.740000,0.010000,-0.010000,0,,,,,,,,,1204.25787,293.67492,-137.30256,0,3.78900,0.92400,-0.43200,0,Mass,0.159000,0.006000,-0.006000,0,,,,,,,,,0,<a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>,,,,,,0.76,0.02,-0.02,0,0.83,0.01,-0.01,0,,,,,,4.61,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h36m00.78s,219.0032292,+09d44m43.57s,9.7454368,16.3292000,0.0199000,-0.0198000,7.4800000,0.0300000,-0.0300000,5.1420000,0.0170000,-0.0170000,7.1671900,0.0005370,-0.0005370,2015-06-24,2014-11,2015-06-25
HD 135872 b,HD 135872,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,2422.32596749,571.78773173,-231.95307809,0,4.183784,0.607068,-0.293602,0,,,,,,,,,1880.61597,327.84331,-167.15639,0,5.91708,1.03151,-0.52593,0,Mass,0.164345,0.074835,-0.063865,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.65,0.10,-0.10,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m41.13s,229.4213643,-05d12m08.90s,-5.2024735,82.4251000,0.3022000,-0.3022000,7.2810300,0.0230000,-0.0230000,5.0860000,0.0230000,-0.0230000,7.0276400,0.0002680,-0.0002680,2022-09-19,2022-09,2022-09-19
HD 136118 b,HD 136118,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1187.59765270,2.22731687,-2.38110801,0,2.325263,0.100886,-0.108899,0,,,,,,,,,4174.77030,419.04374,-412.76915,0,13.13530,1.31846,-1.29872,0,Mass,0.344143,0.013999,-0.013565,0,,,,,,,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.18,0.16,-0.16,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h18m55.35s,229.7306046,-01d35m32.25s,-1.5922913,51.4359000,0.1984000,-0.1969000,6.9456000,0.0230000,-0.0230000,5.5990000,0.0200000,-0.0200000,6.7966400,0.0003080,-0.0003080,2022-09-19,2022-09,2022-09-19
HD 136352 b,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,11.57797000,0.00008000,-0.00013000,0,0.096400,0.002800,-0.002800,0,1.664,0.043,-0.043,0,0.148,0.004,-0.004,0,4.72000,0.42000,-0.42000,0,0.01485,0.00132,-0.00132,0,Mass,0.000000,,,0,111.60,7.30,-6.80,0,905,14,-14,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.00,61.00,-61.00,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0,-0.240,0.050,-0.050,0,[M/H],4.39,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.6820000,0.0199000,-0.0198000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09
HD 136352 b,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,11.57779000,0.00091000,-0.00110000,0,0.096900,0.001900,-0.001700,0,1.482,0.058,-0.056,0,0.132,0.005,-0.005,0,4.62000,0.45000,-0.44000,0,0.01454,0.00142,-0.00138,0,Mass,0.079000,0.068000,-0.053000,0,114.00,10.00,-9.00,0,911,18,-18,0,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,,5850.00,100.00,-100.00,0,1.01,0.02,-0.02,0,0.91,0.06,-0.05,0,-0.250,0.120,-0.120,0,[Fe/H],4.38,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.6820000,0.0199000,-0.0198000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2020-12-10,2020-09,2020-12-17
HD 136352 c,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,27.59221000,0.00011000,-0.00011000,0,0.172100,0.005000,-0.005000,0,2.916,0.075,-0.073,0,0.260,0.007,-0.007,0,11.24000,0.65000,-0.63000,0,0.03536,0.00205,-0.00198,0,Mass,0.000000,,,0,35.10,2.30,-2.10,0,677,11,-11,0,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.00,61.00,-61.00,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0,-0.240,0.050,-0.050,0,[M/H],4.39,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.6820000,0.0199000,-0.0198000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09
HD 136352 c,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,27.59090000,0.00280000,-0.00310000,0,0.172900,0.003400,-0.003000,0,2.608,0.078,-0.077,0,0.233,0.007,-0.007,0,11.29000,0.73000,-0.69000,0,0.03552,0.00230,-0.00217,0,Mass,0.037000,0.039000,-0.026000,0,36.00,3.00,-3.00,0,682,14,-13,0,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,,5850.00,100.00,-100.00,0,1.01,0.02,-0.02,0,0.91,0.06,-0.05,0,-0.250,0.120,-0.120,0,[Fe/H],4.38,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.6820000,0.0199000,-0.0198000,5.6500000,0.0300000,-0.0300000,4.1590000,0.0360000,-0.0360000,5.4849500,0.0015675,-0.0015675,2020-12-10,2020-09,2020-12-17
